Class Name,Class Code,Department,Units,Class Description,Class URL
Topics in History of Analytic Philosophy,LPS 115,Logic and Philosophy of Science,4 Units,"Review of central theories or figures in the history of analytic philosophy. Emphasis on writings of Frege, Russell, Schlick, Carnap, and Quine. Topics include the nature of meaning and truth, the synthetic/analytic distinction, and scientific knowledge. Repeatability: Unlimited as topics vary. Same as PHIL 115.",https://catalogue.uci.edu/allcourses/lps/
Topics in Metaphysics,LPS 120,Logic and Philosophy of Science,4 Units,"Examines central philosophical questions concerning our own fundamental nature and that of the world around us (e.g., causation and necessity, determination, free will, personal identity, the mind-body problem). Repeatability: Unlimited as topics vary. Same as PHIL 120. 2725",https://catalogue.uci.edu/allcourses/lps/
Topics in the Theory of Knowledge,LPS 121,Logic and Philosophy of Science,4 Units,"One or more topics in the theory of knowledge, e.g., the nature of rational justification, of perceptual knowledge, of a priori knowledge. Repeatability: Unlimited as topics vary. Same as PHIL 121.",https://catalogue.uci.edu/allcourses/lps/
What is Disease?,LPS H123,Logic and Philosophy of Science,4 Units,Explores philosophical issues associated with scientific efforts to understand and explain disease. Restriction: Campuswide Honors Collegium students only. (II),https://catalogue.uci.edu/allcourses/lps/
What Is Time?,LPS H125,Logic and Philosophy of Science,4 Units,"Engages the question ""what is time?"" by drawing on physics, philosophy, fiction, film, and psychology. Organized around understanding and addressing the tension between time as represented in physics and our immediate temporal experience. Restriction: Campuswide Honors Collegium students only. (III)",https://catalogue.uci.edu/allcourses/lps/
The Scientific Revolution,LPS 135A,Logic and Philosophy of Science,4 Units,"An examination of early modern European science from 1500-1700. Includes primary readings from central figures (Copernicus, Harvey, Bacon, Descartes, et al.); themes include the impact of printing, humanism, patronage, technology, and discussion of the term ""revolution"" in this context. Same as HIST 135A, PHIL 135A.",https://catalogue.uci.edu/allcourses/lps/
Topics in Philosophy of Science,LPS 140,Logic and Philosophy of Science,4 Units,"Selected topics in contemporary philosophy of science, e.g., the status of theoretical entities, the confirmation of theories, the nature of scientific explanation. Repeatability: Unlimited as topics vary. Same as PHIL 140.",https://catalogue.uci.edu/allcourses/lps/
Geometry and Spacetime,LPS 141B,Logic and Philosophy of Science,4 Units,"An examination of the foundations of the special theory of relativity, with emphasis on the geometry of Minkowski spacetime, and its relation to both Euclidean and non-Euclidean (hyperbolic) plane geometries. Prerequisite: MATH 2D and (MATH 3A or MATH 6G) Same as PHIL 141B.",https://catalogue.uci.edu/allcourses/lps/
Probability and Determinism,LPS 141D,Logic and Philosophy of Science,4 Units,"An examination of a cluster of interrelated issues concerning probability, determinism, logic, and the foundations of quantum mechanics. Prerequisite: MATH 2D and (MATH 3A or MATH 6G) Same as PHIL 141D.",https://catalogue.uci.edu/allcourses/lps/
Honors Philosophy of Quantum Mechanics,LPS H141,Logic and Philosophy of Science,4 Units,"An examination of the standard von Neumann-Dirac formulation of quantum mechanics. The quantum measurement problem is discussed along with several proposed solutions, including GRW, many-worlds, man-minds, and Bohm's theory. Overlaps with LPS 141C. Restriction: Campuswide Honors Collegium students only. 2726",https://catalogue.uci.edu/allcourses/lps/
Writing/Philosophy of Biology,LPS 142W,Logic and Philosophy of Science,4 Units,"Philosophy of biology, e.g., scientific method in biology, the structure of evolutionary theory, teleology, ethics, and evolution. Course work includes one 4,000-word and four 1,000-word papers. Prerequisite: Satisfactory completion of the Lower-Division Writing requirement. Same as PHIL 142W, BIOL E142W. Restriction: Juniors only. (Ib)",https://catalogue.uci.edu/allcourses/lps/
Topics in Philosophy of Psychology,LPS 143,Logic and Philosophy of Science,4 Units,"Selected topics in the philosophy of psychology, e.g., the nature of psychological explanation, reductionism, issues in cognitive, behavioral, and neuroscience. Repeatability: Unlimited as topics vary. Same as PHIL 143, PSYC 123P. Restriction: Psychology Majors have first consideration for enrollment. Philosophy Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/lps/
Topics in Philosophy of Social Science,LPS 144,Logic and Philosophy of Science,4 Units,"Selected topics in the philosophy of the social sciences, e.g.: Is their goal to understand behavior or to predict and control it? Are they normative and the natural sciences not? Do they incorporate philosophical doctrines about language and mind?. Repeatability: May be taken for credit for 4 units as topics vary. Same as PHIL 144.",https://catalogue.uci.edu/allcourses/lps/
Topics in Philosophy of Language,LPS 145,Logic and Philosophy of Science,4 Units,"Selected topics in the philosophy of language, e.g., the nature of meaning, mechanisms of reference, speech acts. Repeatability: Unlimited as topics vary. Same as LSCI 141, PHIL 145.",https://catalogue.uci.edu/allcourses/lps/
Topics in Philosophy of Mathematics,LPS 147,Logic and Philosophy of Science,4 Units,"Selected historical and contemporary topics in the philosophy of mathematics, e.g., mathematical truth and ontology, mathematical knowledge, the nature and role of proof, the workings of mathematics in application. Repeatability: Unlimited as topics vary. Same as PHIL 147.",https://catalogue.uci.edu/allcourses/lps/
Independent Study,LPS 199,Logic and Philosophy of Science,1-4 Units,Independent research with Logic and Philosophy of Science faculty. Repeatability: May be taken for credit for 12 units.,https://catalogue.uci.edu/allcourses/lps/
Set Theory,LPS 205A,Logic and Philosophy of Science,4 Units,"The basic working vocabulary of mathematical reasoning. Topics include: sets, Boolean operations, ordered n-tuples, relations, functions, ordinal and cardinal numbers. Same as PHIL 205A.",https://catalogue.uci.edu/allcourses/lps/
Metalogic,LPS 205B,Logic and Philosophy of Science,4 Units,"Formal syntax (proof theory) and semantics (model theory) for first-order logic, including the deduction, completeness, compactness, and LoewenheimSkolem theorems. Prerequisite: PHIL 205A or LPS 205A Same as PHIL 205B. 2727",https://catalogue.uci.edu/allcourses/lps/
Undecidability and Incompleteness,LPS 205C,Logic and Philosophy of Science,4 Units,"Formal theory of effective processes, including recursive function, Turing machines, Church's thesis, proofs of Goedel's incompleteness theorem for arithmetics, and Church's undecidability for first-order logic. Prerequisite: PHIL 205B or LPS 205B Same as PHIL 205C. Restriction: Graduate students only. Concurrent with LPS 105C.",https://catalogue.uci.edu/allcourses/lps/
Topics in Logic,LPS 206,Logic and Philosophy of Science,4 Units,Studies in selected areas of logic. Topics addressed vary each quarter. Repeatability: Unlimited as topics vary. Same as PHIL 206.,https://catalogue.uci.edu/allcourses/lps/
Topics in Modern Philosophy,LPS 213,Logic and Philosophy of Science,4 Units,Studies in selected areas of modern philosophy. Topics addressed vary each quarter. Repeatability: Unlimited as topics vary. Same as PHIL 213.,https://catalogue.uci.edu/allcourses/lps/
Topics in Analytic Philosophy,LPS 215,Logic and Philosophy of Science,4 Units,Studies in selected areas of analytic philosophy. Topics addressed vary each quarter. Repeatability: Unlimited as topics vary. Same as PHIL 215.,https://catalogue.uci.edu/allcourses/lps/
Topics in Metaphysics,LPS 220,Logic and Philosophy of Science,4 Units,Studies in selected areas of metaphysics. Topics addressed vary each quarter. Repeatability: Unlimited as topics vary. Same as PHIL 220.,https://catalogue.uci.edu/allcourses/lps/
Topics in Epistemology,LPS 221,Logic and Philosophy of Science,4 Units,Studies in selected areas of epistemology. Topics addressed vary each quarter. Repeatability: Unlimited as topics vary. Same as PHIL 221.,https://catalogue.uci.edu/allcourses/lps/
Medical Epistemology,LPS 221A,Logic and Philosophy of Science,4 Units,"Analysis of epistemological issues concerning medical research and healthcare. Topics may include medical evidence, transmission of medical knowledge in the doctor-patient interaction, medical expertise, epistemology of medical disagreement, classification of illness, well-being, philosophy of pain, or medical decision making. Same as PHIL 221A. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/lps/
Topics in Political and Social Philosophy,LPS 232,Logic and Philosophy of Science,4 Units,Studies in selected areas of political and social philosophy. Topics addressed vary each quarter. Repeatability: Unlimited as topics vary. Same as PHIL 232.,https://catalogue.uci.edu/allcourses/lps/
Topics in Philosophy of Science,LPS 240,Logic and Philosophy of Science,4 Units,Studies in selected areas of philosophy of science. Topics addressed vary each quarter. Repeatability: Unlimited as topics vary. Same as PHIL 240. 2728,https://catalogue.uci.edu/allcourses/lps/
Topics in Philosophy of Physics,LPS 241,Logic and Philosophy of Science,4 Units,Studies in selected areas of philosophy of physics. Topics addressed vary each quarter. Repeatability: Unlimited as topics vary. Same as PHIL 241.,https://catalogue.uci.edu/allcourses/lps/
Topics in Philosophy of Biology,LPS 242,Logic and Philosophy of Science,4 Units,Studies in selected areas of philosophy of biology. Topics addressed vary each quarter. Repeatability: Unlimited as topics vary. Same as PHIL 242.,https://catalogue.uci.edu/allcourses/lps/
Topics in Philosophy of Psychology,LPS 243,Logic and Philosophy of Science,4 Units,"Selected topics in the philosophy of psychology, e.g., the nature of psychological explanation, reductionism, issues in cognitive, behavioral, and neuroscience. Repeatability: Unlimited as topics vary. Same as PHIL 243, PSYC 231P.",https://catalogue.uci.edu/allcourses/lps/
Topics in Philosophy of Social Science,LPS 244,Logic and Philosophy of Science,4 Units,Studies in selected areas of philosophy and social science. Topics addressed vary each quarter. Repeatability: Unlimited as topics vary. Same as PHIL 244.,https://catalogue.uci.edu/allcourses/lps/
Topics in Philosophy of Language,LPS 245,Logic and Philosophy of Science,4 Units,Studies in selected areas of philosophy of language. Topics addressed vary each quarter. Repeatability: Unlimited as topics vary. Same as PHIL 245.,https://catalogue.uci.edu/allcourses/lps/
Topics in Philosophy of Logic,LPS 246,Logic and Philosophy of Science,4 Units,Studies in selected areas of philosophy of logic. Topics addressed vary each quarter. Repeatability: Unlimited as topics vary. Same as PHIL 246.,https://catalogue.uci.edu/allcourses/lps/
Topics in Philosophy of Mathematics,LPS 247,Logic and Philosophy of Science,4 Units,Studies in selected areas of philosophy of mathematics. Topics addressed vary each quarter. Repeatability: Unlimited as topics vary. Same as PHIL 247.,https://catalogue.uci.edu/allcourses/lps/
Logic and Philosophy of Science Workshop,LPS 289,Logic and Philosophy of Science,1-4 Units,A two- or three-quarter-long workshop on selected topics in logic and philosophy of science. Grading Option: Satisfactory/unsatisfactory only. Repeatability: May be repeated for credit unlimited times.,https://catalogue.uci.edu/allcourses/lps/
Independent Study,LPS 298,Logic and Philosophy of Science,4-12 Units,Independent research with Logic and Philosophy of Science Faculty. Repeatability: May be taken for credit for 12 units.,https://catalogue.uci.edu/allcourses/lps/
Directed Research,LPS 299,Logic and Philosophy of Science,1-12 Units,Directed study with Logic and Philosophy of Science Faculty. Repeatability: May be repeated for credit unlimited times.,https://catalogue.uci.edu/allcourses/lps/
University Teaching,LPS 399,Logic and Philosophy of Science,4-12 Units,Required of and limited to Teaching Assistants. Grading Option: Satisfactory/unsatisfactory only. Repeatability: May be taken for credit for 12 units.,https://catalogue.uci.edu/allcourses/lps/
Introduction to Business and Management,MGMT 1,Management,4 Units,"Rigorous overview of major business functions and management topics. Addresses the global and fast-changing environment in which modern business enterprises operate as well as the challenges posed by concerns about sustainable growth, ethics, and social responsibility. Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Basic Economics for Managers I,MGMT 4A,Management,4 Units,"Microeconomic principles for managers. Useful applications of basic economic principles to situations in business as well as in various professions. Materials fee. Overlaps with ECON 23, ECON 20A. Restriction: Business Administration Majors have first consideration for enrollment. For School of Social Sciences majors, MGMT 4A may not be used as a substitute for ECON 20A. (III)",https://catalogue.uci.edu/allcourses/mgmt/
Basic Economics for Managers II,MGMT 4B,Management,4 Units,"Macroeconomic principles for managers. Useful applications of basic economic principles to situations in business as well as in various professions. Prerequisite: MGMT 4A or ECON 20A Overlaps with ECON 20B. Restriction: Business Administration Majors have first consideration for enrollment. For School of Social Sciences majors, MGMT 4B may not be used as a substitute for ECON 20B. (III)",https://catalogue.uci.edu/allcourses/mgmt/
Management of Contemporary Organizations,MGMT 5,Management,4 Units,"Equips students with working knowledge of several major subject areas within the context of business and society studies. Topics include: role of management in organizations, corporate social responsibility and responsiveness, ethics and values in business, government regulation, and international business.",https://catalogue.uci.edu/allcourses/mgmt/
Statistics for Business Decision Making,MGMT 7,Management,4 Units,"Basics of data analysis and the fundamental notion of statistical inference emphasizing applications to administrative and management decision problems. Classical estimation and hypotheses testing, regression, correlation, analysis of variance, nonparametric methods, and statistical probability. Overlaps with STAT 7, STAT 8, ECON 15A, ECON 15B. Restriction: Business Administration Majors have first consideration for enrollment. (Va)",https://catalogue.uci.edu/allcourses/mgmt/
Principles of Accounting I,MGMT 30A,Management,4 Units,"First in a two course introductory series. Emphasis on financial accounting concepts and practices essential to the administration of business enterprises; including recording and valuation of financial transactions, and preparation, analysis, and interpretation of financial statements. Overlaps with ECON 25. Restriction: Business Administration Majors have first consideration for enrollment. 2730",https://catalogue.uci.edu/allcourses/mgmt/
Principles of Accounting II,MGMT 30B,Management,4 Units,"Second in a two-course introductory series. Emphasis is on the introduction of managerial accounting concepts and techniques as tools to aid management in carrying out the primary internal functions of planning, control, and decision-making. Prerequisite: MGMT 30A Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Special Topics in Management,MGMT 90,Management,1-4 Units,Studies in selected areas of management. Topics addressed vary each quarter. Repeatability: Unlimited as topics vary. Restriction: Business Administration Majors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/mgmt/
Management Science,MGMT 101,Management,4 Units,"Concepts and methods of management science, which applies mathematical modeling and analysis to management problems. Topics include linear and integer programming, project scheduling, inventory management, queuing analysis, decision analysis, and simulation. Prerequisite: MGMT 7 Restriction: Upper-division students only. Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Managing Organizational Behavior,MGMT 102,Management,4 Units,"Basic theory and concepts which provide the manager with tools for understanding behavior of people in organizations. Areas such as individual, group, and organizational determinants of attitudes, turnover, and job performance. Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Introduction to Marketing,MGMT 105,Management,4 Units,"Basic marketing concepts; discussion of the role marketing plays in modern society. Topics include industrial and consumer marketing, promotion, distribution, and pricing theory. Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Introduction to Management Information Systems,MGMT 107,Management,4 Units,"Information Technology (IT) continues to drive rapid productivity growth and structural changes in the economy. Topics include what IT is, and how companies can use IT to improve business processes, enhance customer services, and gain competitive advantage over rivals. Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Introduction to Managerial Finance,MGMT 109,Management,4 Units,"Basics of financial administration. Capital budgeting, cost of capital, cash budgeting, working capital management, and long-term sources of funds. Provides a basic understanding of issues and techniques involved in financial decision making. Prerequisite: MATH 2B and MGMT 30A Overlaps with ECON 134A. Restriction: Upper-division students only. Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Strategic Management,MGMT 110,Management,4 Units,"Addresses management of the entire business. Role of the general manager in organizations, industry analysis, core competencies, growth through vertical integration, innovation, acquisition and diversification, globalization, strategy implementation, and the ethical and moral responsibility of a manager. Prerequisite: MGMT 102 and MGMT 105 and MGMT 109 Overlaps with ECON 147B. Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
China and the Global Order,MGMT 111,Management,4 Units,"Introduces students to China's economic and military relations with the world, assessment of likelihood for conflict, and how to strategically manage business risk from regional conflict. Includes an original documentary series and engaging discussion. (VIII) 2731",https://catalogue.uci.edu/allcourses/mgmt/
New Ventures: A Course in Entrepreneurship,MGMT 113,Management,4 Units,"Introduction to the survival and growth of new ventures. Methods include analysis of live cases, guest speakers, discussion, and field projects with contemporary new ventures to learn about new venture management and surviving the liabilities of newness. Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Lean Startup,MGMT 115,Management,4 Units,"Based on the well-known Lean Launchpad course currently used by a growing segment of the startup world. Students work in teams to ideate, develop a Business Model Canvas, and gather customer/market feedback. Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Managing Organizational Change,MGMT 120,Management,4 Units,"Focuses on the implementation of change. Identifies the features of successful changes in organizations of varying sizes and configurations, with an emphasis on the reasons why individuals resist or embrace change. Prerequisite: MGMT 1 Restriction: Business Administration Majors only.",https://catalogue.uci.edu/allcourses/mgmt/
Creativity and Leadership in Entrepreneurial Organizations,MGMT 123,Management,4 Units,Learn about your own thinking process; develop the ability to think both logically and creatively and to understand how emotions affect your thinking. Class sessions involve discussion and experiential exercises. Business problems and issues are used for discussion and exercises. Restriction: Business Administration Majors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/mgmt/
Human Resources Management,MGMT 124,Management,4 Units,"Theory and practice of managing human resources. Students identify and analyze HR dilemmas, apply labor law, and design systems and processes to develop the human resources needed to help organizations achieve their goals. Restriction: Business Information Mgmt Majors have first consideration for enrollment. Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Negotiations,MGMT 125,Management,4 Units,"The objective is to assist students in developing an understanding of different theoretical perspectives and develop their skills in negotiating. Exploration of feelings and beliefs about negotiation, negotiation skills, and putting theory into action by practicing new negotiation skills. Prerequisite: MGMT 102 Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Foundations of Teams,MGMT 126,Management,4 Units,Social and psychological processes that detract from effective teamwork and collaboration. Tools to understand how to be a better team member are introduced. Provides the foundation for students to become effective team leaders and to manage difficult team situations. Restriction: Business Administration Majors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/mgmt/
Business Ethics,MGMT 127,Management,4 Units,Comprehensive introduction to ethical considerations in business with a focus on awareness to the complexity of ethical decision-making and how to make choices from a standpoint of ethical consciousness. Restriction: Business Administration Majors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/mgmt/
International Management,MGMT 128,Management,4 Units,"Impact of different cultures and political/economic systems on assumptions, expectations, and organizational practices relevant to conducting business in different national settings. Understanding of the challenges of cross-national management and resources utilized to work and conduct business outside the United States. Restriction: Business Administration Majors have first consideration for enrollment. (VIII)",https://catalogue.uci.edu/allcourses/mgmt/
Leadership,MGMT 129,Management,4 Units,"Case analyses, free-form discussion, and written assignments designed to develop critical thinking skills, as well as knowledge of approaches to differing leadership challenges. Experiential exercises encourage students to develop their ability to innovate, foster collaboration, manage conflict, and value diversity. Prerequisite: MGMT 102 Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Intermediate Accounting I,MGMT 131A,Management,4 Units,"First course in a series of two intermediate-level courses in financial accounting theory and practice. Concepts include the measurement, valuation, and reporting of current and long-term assets, current liabilities, and revenue recognition issues. Prerequisite: (MGMT 30A or ECON 25) and MGMT 30B Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Intermediate Accounting II,MGMT 131B,Management,4 Units,"Second course in a series of two intermediate-level courses in financial accounting theory and practice. Concepts include the measurement, valuation, and reporting of long-term liabilities and contingencies, accounting for stockholders' equity, and the Statement of Cash Flows. Prerequisite: MGMT 131A Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Intermediate Accounting III,MGMT 131C,Management,4 Units,"Third in a three-part series (A, B, and C). Focuses on developing knowledge related to investments, debt/equity issues, accounting for income taxes, pensions, leases, and revenue recognition. Prerequisite: MGMT 131B Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Individual Taxation,MGMT 132A,Management,4 Units,"Fundamentals of federal income taxation pertaining to individuals. Topics include income, deductions, credits, property transactions, and the impact of taxes on business and investment decisions. Prerequisite: MGMT 30B Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Corporate and Partnership Taxation,MGMT 133,Management,4 Units,"Fundamentals of federal income taxation pertaining to partnerships and corporations, including subchapter S corporations. Emphasis on the tax issues associated with formation, operation, and termination of these entities. Prerequisite: MGMT 132A Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Data Analytics in Accounting,MGMT 134,Management,4 Units,Provides students with an understanding of data types and sources and how to apply and leverage analytical techniques in making financial and managerial accounting decisions. Business and ethical issues surrounding the collection and use of Big Data are also discussed. Prerequisite: MGMT 30B Restriction: Business Administration Majors only.,https://catalogue.uci.edu/allcourses/mgmt/
Accounting Information Systems & Spreadsheets,MGMT 136,Management,4 Units,Fundamentals of accounting information systems including internal controls and transaction processing cycles. Development of efficient spreadsheets as applied to financial and managerial accounting concepts. Prerequisite: MGMT 30B Restriction: Business Administration Majors have first consideration for enrollment. 2733,https://catalogue.uci.edu/allcourses/mgmt/
Advanced Accounting,MGMT 137,Management,4 Units,"Covers advanced concepts in accounting theory and practice. Topics include business combinations, consolidated financial statements, foreign exchange transactions, international, and governmental/nonprofit accounting standards. Prerequisite: MGMT 131B Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Auditing,MGMT 138,Management,4 Units,"An introduction to auditing practice with emphasis on the verification of financial statements and related information. Topics include professional ethics, assessment of audit risk, study and evaluation of internal control, gathering and evaluating audit evidence, and audit reporting. Prerequisite: MGMT 131B Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Investments,MGMT 141,Management,4 Units,"Foundations of investment management. Theory and empirical evidence related to portfolio theory, market efficiency, asset pricing models, factor models, and option pricing theory. Students are expected to combine market research results and electronic information sources to create optimal investment strategies. Prerequisite: MGMT 109 Overlaps with ECON 132A. Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Multinational Finance,MGMT 144,Management,4 Units,"Focuses on financial issues facing multinational corporations, the most important of which is the management of foreign exchange risk. Introduction to investments and financing decisions in international capital markets. Prerequisite: MGMT 109 and (ECON 20A or MGMT 4A) and (ECON 20B or MGMT 4B) Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
FinTech,MGMT 145,Management,4 Units,"Provides working knowledge of economic mechanisms in areas of FinTech. Identifying and analyzing important issues through a balance of qualitative analysis and quantitative applications. Topics covered include Bitcoin, Blockchain, Crowdfunding, peer-to-peer lending, robo-advisor, and their economic and social impacts. Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Introduction to the Real Estate Process,MGMT 146A,Management,4 Units,"Introductory survey course providing a working knowledge of the real estate market, both residential and commercial. Topics include real estate economics, appraisal, feasibility, investment, tax considerations, financing, and development. Lectures and cases, with supplemental presentations by real estate professionals. Restriction: Upper-division students only. Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Applied Financial Valuation,MGMT 147,Management,4 Units,Case study course designed to confront students with real-world financial valuation problems. Situations are chosen to enhance students� understanding of the application of finance theory. The principal focus is on estimating the value of firms and projects in diverse settings. Prerequisite: MGMT 109 and MGMT 141 Restriction: Business Administration Majors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/mgmt/
Derivatives,MGMT 149,Management,4 Units,"Introduction to financial derivatives. Covers forward contracts, futures, swaps, and options. Applications of these instruments, including pricing and risk management, are emphasized. Prerequisite: MGMT 109 and MGMT 141 Restriction: Business Administration Majors have first consideration for enrollment. 2734",https://catalogue.uci.edu/allcourses/mgmt/
Consumer Behavior,MGMT 150,Management,4 Units,"Application of the behavioral sciences to understanding buyer behavior. Topics include perception, memory, affect, learning, persuasion, motivation, behavioral decision theory, social and culture influences, and managerial implications. Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Marketing Research,MGMT 151,Management,4 Units,"Research to aid managerial decisions for products and services; problem formulation, research design, data collection, sampling, statistical analyses, managerial recommendations, and implementation in several real-world settings. Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Sales Management,MGMT 153,Management,4 Units,"Designed for students interested in learning about sales force management and personal selling by firms engaged in business-to-business and consumer goods/services marketing. Covers advantages of personal selling, how to perform sales calls, challenges of sales managers, roles of buying centers. Restriction: Business Information Mgmt Majors have first consideration for enrollment. Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Global Marketing,MGMT 154,Management,4 Units,"Students are exposed to the challenges and opportunities facing marketers in the international marketplace. Special attention is given to the management of cultural differences in product development, distribution systems, pricing, and promotion. Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Brand Management,MGMT 155,Management,4 Units,"Introduction to issues in planning, implementing, and evaluating brand strategies, relevant theories, models, and tools for the making of brand decisions; application of these principles. Prerequisite: MGMT 105 Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Pricing Strategy,MGMT 156,Management,4 Units,"Provides a framework for designing and analyzing pricing strategies. Emphasizes role of pricing in the marketing-mix decisions and broader marketing strategy of a firm. Incorporates study of various economic, psychological, competitive, and organizational foundations that enter into effective pricing decisions. Prerequisite: MGMT 105 Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Digital Media Marketing Strategy,MGMT 158,Management,4 Units,Entails developing digital marketing strategy across numerous digital marketing platforms; understanding digital native consumers and newer consumer. Prerequisite: MGMT 105 Restriction: Business Administration Majors only.,https://catalogue.uci.edu/allcourses/mgmt/
Analysis of Marketing Data,MGMT 159,Management,4 Units,"Provides opportunity to learn and apply analytical skills to marketing datasets to unveil hidden patterns and truths, to measure and quantify the performance differences between different initiatives, and to inform decision-making in an increasingly digital world. Prerequisite: MGMT 105 Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
U.S. Healthcare Systems,MGMT 165,Management,4 Units,"Providers, suppliers, payers, consumers, and the unique market dynamics among these players. Structure, organization, and financing of health care. The health care industry's relationship to the overall economy will be explored. Restriction: Business Administration Majors have first consideration for enrollment. Business Information Mgmt Majors have first consideration for enrollment. 2735",https://catalogue.uci.edu/allcourses/mgmt/
Business of Medicine,MGMT 166,Management,4 Units,"In order to improve the quality and efficiency of health care delivery one must understand the design and management of health care operations. Opportunities for innovation and changes needed to design a simple, accessible, fair, and effective health care system. Restriction: Business Administration Majors have first consideration for enrollment. Business Information Mgmt Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Social Media,MGMT 171,Management,4 Units,"Covers theoretical aspects and business applications of social media tools including blogs, wikis, social networking platforms, immersive environments, and other social computing technologies. Also covers business value of social-media-enabled processes. Restriction: Business Administration Majors have first consideration for enrollment. Business Information Mgmt Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Data and Programming for Analytics,MGMT 172,Management,4 Units,"Challenges and teaches students how to handle data that come in a variety of forms and sizes. Guides students through the whole data management process, from initial data acquisition to final data analysis. Prerequisite: Recommended: Previous experience with programming languages (preferably Python). Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Business Intelligence for Analytical Decisions,MGMT 173,Management,4 Units,"BI from both managerial and technical perspectives. Learn to apply a variety of data mining techniques to learn business intelligence embedded in data, and apply that intelligence to run your business more efficiently. These techniques are useful in different areas. Prerequisite: MGMT 107 Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Business Data Management,MGMT 174,Management,4 Units,"Query, manipulate, and understand data and learn about leading edge applications for databases. Database fundamentals including entity relationship design, creating database tables, normalization, and data querying. Contemporary applications of database using case studies. Applications include data warehousing, data mining. Prerequisite: MGMT 107 Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Digital Strategies,MGMT 176,Management,4 Units,Covers business strategies for firms that make technology products. Insights are applicable not only to industries that make information and technology goods but also to industries that leverage digitization and network effects for their products. Restriction: Business Administration Majors only.,https://catalogue.uci.edu/allcourses/mgmt/
